X,Y,Z,Time,Distance,Stability,X_ref,Y_ref,Z_ref
0.8780482954588003,-0.12333515318709594,4.277805429441761,324.61,0.22050702027570612,T1,1.4469659950028033,0.2881916944494256,-0.6596108984994062
0.47072162056941674,0.11600249463211527,4.4097014148301295,324.62,0.44788670634122624,T1,1.3103888132898478,0.16797911863373868,-0.6980081274588027
0.10049741551705549,0.36687827142753565,4.529140056588543,324.63,0.3449890061552089,T1,1.0702493317070967,-0.030993210377341124,-0.7395647318492732
-0.22954870928752624,0.6267598954117662,4.636704480661316,324.64,0.3765613929806779,T1,0.7877545788363858,-0.24876844308698906,-0.7552931769605976
-0.5170807259524509,0.8931516242426051,4.732995616456346,324.65,0.40982602224848097,T1,0.5763769440219823,-0.40250086279933356,-0.7477885392872053
-0.7605405939126009,1.1635942170899156,4.818601823633186,324.66,0.43262127966050595,T1,0.22618923894462165,-0.6437688741049762,-0.704302293120379
-0.9591539241498644,1.4356736077823489,4.894076285273269,324.67,0.6517116788308714,T1,-0.16123688255615354,-0.8966547689618009,-0.6162498778305724
-1.1129024648051145,1.7070391097018924,4.95992220672584,324.68,0.5892584795019693,T1,-0.5823391619644324,-1.1617843970869994,-0.477490093108376
-1.2224663507549896,1.975430656197846,5.016585235701183,324.69,0.4583238443036978,T1,-0.8797410130430969,-1.3466560261597058,-0.35401008686308044
-1.2891418521012523,2.2387133158970953,5.064452071289651,324.7,0.19301939799070658,T1,-1.3475655037977388,-1.639435446286629,-0.11846117723748333
-1.3147422218401343,2.4949162303839034,5.103853965529181,324.71,0.08217433044286727,T1,-1.8373541994530131,-1.9550705804716,0.18394181750805333
-1.3014900703413743,2.7422723189627445,5.135073729063251,324.72,0.338016789930939,T1,-2.1724022169009864,-2.177896702118646,0.43324291641565965
-1.251909539935278,2.9792546859382854,5.158354905797369,324.73,0.3482470877613372,T1,-2.6810249485887785,-2.530352639347825,0.8827593555033508
-1.1687255820883238,3.2046057293578585,5.173911944419142,324.74,0.3133927606026081,T1,-3.189163244830705,-2.9026583516148285,1.4231150654592595
-1.054776076370487,3.41735552472782,5.181940427361754,324.75,0.29951839418918136,T1,-3.6882201715529574,-3.2897535701372163,2.0525061433182192
-0.9129406186852824,3.6168271209414833,5.182626680781781,324.76,0.3015918604469652,T1,-4.011590034638132,-3.5521837763575355,2.5198665287372233
-0.7460877797184512,3.8026278337636503,5.176156347143981,324.77,0.14163359153589225,T1,-4.476055621515283,-3.944837709678362,3.288980476229121
-0.5570406967684127,3.9746272455290304,5.162721726697237,324.78,0.1640170692620428,T1,-4.90760159307286,-4.325614972427757,4.13422296383462
-0.3485591749757325,4.13292411129655,5.142527865862861,324.79,0.14718606378402138,T1,-5.296435951585747,-4.681385531994057,5.0476183292963395
-0.12333515318709594,4.277805429441761,5.115797479419382,324.8,0.20240176728558554,T1,-5.526745907720095,-4.898090550848101,5.689470325744839
0.11600249463211527,4.4097014148301295,5.082774839236087,324.81,0.32386682489715135,T1,-5.820581655806638,-5.183307737458607,6.692646652300207
0.36687827142753565,4.529140056588543,5.043728754367625,324.82,0.3080952811538783,T1,-6.042311748301451,-5.411789495090253,7.731904021259632
0.6267598954117662,4.636704480661316,4.998954722684678,324.83,0.24439522726966822,T1,-6.144564064201555,-5.52909303136557,8.437319908860161
0.8931516242426051,4.732995616456346,4.94877627641876,324.84,0.21105034142357448,T1,-6.221984878310606,-5.650085760271086,9.502499055685472
1.1635942170899156,4.818601823633186,4.8935455006057005,324.85,0.09009939337714862,T1,-6.200444485418764,-5.705593275180231,10.561406888329
1.4356736077823489,4.894076285273269,4.833642701564201,324.86,0.17148646821951077,T1,-6.07322506006296,-5.699491262769191,11.59671822135811
1.7070391097018924,4.95992220672584,4.769475254659987,324.87,0.34989268295563003,T1,-5.927720950192664,-5.664428595487485,12.26485789244397
1.975430656197846,5.016585235701183,4.701475750051056,324.88,0.40685686261564313,T1,-5.618049704903936,-5.571625350876851,13.220179600465851
2.2387133158970953,5.064452071289651,4.6300996481197005,324.89,0.4272575502967615,T1,-5.202042267166162,-5.43936716296727,14.103112852506538
2.4949162303839034,5.103853965529181,4.555822724154262,324.9,0.44743254259474974,T1,-4.688370986578258,-5.278728729811844,14.89722552090113
2.7422723189627445,5.135073729063251,4.479138607524078,324.91,0.4675613799576911,T1,-4.298469127086102,-5.161868451354369,15.370473054685341
2.9792546859382854,5.158354905797369,4.400556697383009,324.92,0.4877251733601147,T1,-3.65621171212302,-4.981509598542363,15.988111206749272
3.2046057293578585,5.173911944419142,4.320600666417786,324.93,0.5078948557111624,T1,-2.9651041630088604,-4.806684794760682,16.487971943307667
3.41735552472782,5.181940427361754,4.239807654141874,324.94,0.5217135285748828,T1,-2.4895697148177707,-4.699339503527962,16.752952954668327
3.6168271209414833,5.182626680781781,4.158728114210716,324.95,0.5302372572073347,T1,-1.7735373110518466,-4.5602016670350425,17.04565985936896
3.8026278337636503,5.176156347143981,4.077926131644675,324.96,0.5403557615857372,T1,-1.0774630406871912,-4.455160898008881,17.212593051977528
