X,Y,Z,Time,Distance,Stability,X_ref,Y_ref,Z_ref
-22.071232105711672,-15.947153130382413,7.956796720127651,143.54,7.852955038487259,T1,1.4469659950028033,0.2881916944494256,-0.6596108984994062
-24.714990875267386,-13.33217504597942,6.641305895726402,143.55,5.580343203740885,T1,1.3103888132898478,0.16797911863373868,-0.6980081274588027
-27.073479844175058,-10.686803702543708,5.073374849312453,143.56,3.550815457637436,T1,1.0702493317070967,-0.030993210377341124,-0.7395647318492732
-29.1089830905869,-8.047438645767656,3.2645852360628957,143.57,4.367992970384352,T1,0.7877545788363858,-0.24876844308698906,-0.7552931769605976
-30.791277815576866,-5.452235929642686,1.2282421424020358,143.58,7.048993876212323,T1,0.5763769440219823,-0.40250086279933356,-0.7477885392872053
-32.09850614760981,-2.940428536637922,-1.0199004309942978,143.59,10.181123825213653,T1,0.22618923894462165,-0.6437688741049762,-0.704302293120379
-33.0176662591183,-0.5512834828500217,-3.460889266259953,143.6,13.3269666446249,T1,-0.16123688255615354,-0.8966547689618009,-0.6162498778305724
-33.54466494760334,1.677191152319185,-6.071887313144394,143.61,16.47613203809105,T1,-0.5823391619644324,-1.1617843970869994,-0.477490093108376
-33.68390734089981,3.7096337734917073,-8.825632198679639,143.62,17.311635490576098,T1,-0.8797410130430969,-1.3466560261597058,-0.35401008686308044
-33.44744539348288,5.51463999510656,-11.690103988710796,143.63,18.28009489983213,T1,-1.3475655037977388,-1.639435446286629,-0.11846117723748333
-32.85376103044722,7.065835613957101,-14.628456560518455,143.64,19.45296609196363,T1,-1.8373541994530131,-1.9550705804716,0.18394181750805333
-31.926312873190376,8.342584954367847,-17.59925082742031,143.65,20.786242634377153,T1,-2.1724022169009864,-2.177896702118646,0.43324291641565965
-30.692014395202342,9.330260442028933,-20.557009385738034,143.66,22.237618820082687,T2,-2.6810249485887785,-2.530352639347825,0.8827593555033508
-29.17982401721727,10.020062824123725,-23.45309436659194,143.67,23.76463757408177,T2,-3.189163244830705,-2.9026583516148285,1.4231150654592595
-27.419608335859888,10.408445437223431,-26.236892915860903,143.68,25.32379076772049,T2,-3.6882201715529574,-3.2897535701372163,2.0525061433182192
-25.44139121840191,10.49624963204049,-28.857277702706757,143.69,26.870886909475473,T2,-4.011590034638132,-3.5521837763575355,2.5198665287372233
-23.275034277164018,10.287693601946362,-31.264294001042302,143.7,27.15712474562009,T2,-4.476055621515283,-3.944837709678362,3.288980476229121
-20.950322141564314,9.78936902953533,-33.411008080046386,143.71,27.161895199769397,T2,-4.90760159307286,-4.325614972427757,4.13422296383462
-18.497361316796248,9.00938872320801,-35.255431002418426,143.72,27.06101982435753,T2,-5.296435951585747,-4.681385531994057,5.0476183292963395
-15.947153130382413,7.956796720127651,-36.76240726882482,143.73,26.47810657125156,T2,-5.526745907720095,-4.898090550848101,5.689470325744839
-13.33217504597942,6.641305895726402,-37.90533141923513,143.74,25.2247270228971,T2,-5.820581655806638,-5.183307737458607,6.692646652300207
