sessionState,sensorTimeMicros,phoneTimeMs,sampleNumber,aX,aY,aZ,gX,gY,gZ,batteryCharge,batteryVoltage,rssi
100,0,1773659041323,0,0.000854,0.000000,0.000000,25.634766,-122.070312,250.244141,86,0.000000,0
100,0,1773659041323,0,0.000977,-0.000122,0.000000,40.283203,-129.394531,3.665858,86,0.000000,0
100,0,1773659041325,0,0.001099,-0.000122,0.000000,51.269531,-131.835938,3.857606,86,0.000000,0
100,0,1773659041367,0,0.001099,0.000000,0.000000,67.138672,-133.056641,4.283711,86,0.000000,0
100,0,1773659041368,0,0.001221,-0.000122,0.000000,84.228516,-133.056641,4.645902,86,0.000000,0
100,0,1773659041371,0,0.001343,-0.000122,0.000000,95.214844,-131.835938,332.031250,86,0.000000,0
100,0,1773659041415,0,0.001465,0.000000,-0.000122,111.083984,-122.070312,346.679688,86,0.000000,0
100,0,1773659041465,0,0.001587,0.000000,-0.000122,103.759766,-113.525391,5.242450,86,0.000000,0
100,0,1773659041466,0,0.001709,0.000000,-0.000122,98.876953,-111.083984,360.107422,86,0.000000,0
100,0,1773659041466,0,0.001831,0.000000,-0.000122,98.876953,-100.097656,358.886719,86,0.000000,0
100,0,1773659041512,0,0.001831,0.000488,-0.000244,89.111328,-79.345703,4.731122,86,0.000000,0
100,0,1773659041513,0,0.001343,0.001343,0.000000,-58.593750,-79.345703,189.208984,86,0.000000,0
100,0,1773659041513,0,0.001221,0.001221,0.000244,-76.904297,-62.255859,141.601562,86,0.000000,0
100,0,1773659041562,0,0.001099,0.001343,0.000122,-53.710938,-13.427734,-0.403452,86,0.000000,0
100,0,1773659041562,0,0.000977,0.000977,0.000000,-45.166016,17.089844,-2.406149,86,0.000000,0
100,0,1773659041563,0,0.001099,0.000854,0.000000,-29.296875,23.193359,-3.194445,86,0.000000,0
100,0,1773659041610,0,0.001221,0.000732,0.000000,-13.427734,28.076172,-191.650391,86,0.000000,0
100,0,1773659041612,0,0.001343,0.000000,-0.000488,-9.765625,19.531250,-200.195312,86,0.000000,0
100,0,1773659041612,0,0.001343,-0.001831,0.000244,-85.449219,57.373047,-3.705772,86,0.000000,0
100,0,1773659041658,0,0.001343,-0.001709,0.000610,156.250000,40.283203,-150.146484,86,0.000000,0
100,0,1773659041660,0,0.001709,0.000122,0.000122,213.623047,40.283203,-170.898438,86,0.000000,0
100,0,1773659041661,0,0.001831,0.000488,0.000122,157.470703,25.634766,-196.533203,86,0.000000,0
100,0,1773659041708,0,0.001831,0.000488,0.000000,108.642578,-13.427734,-231.933594,86,0.000000,0
