sessionState,prevStepMs,sensorLocation,spm,stepCounter,gpsStepLength
200,1773659982245,LEFT_ANKLE,97.738640,101,0.000000
200,1773659982881,RIGHT_ANKLE,97.738640,102,0.000000
200,1773659983511,LEFT_ANKLE,95.238098,103,0.000000
200,1773659984100,RIGHT_ANKLE,97.447914,104,0.000000
200,1773659984778,LEFT_ANKLE,94.938606,105,0.000000
200,1773659985321,RIGHT_ANKLE,97.148438,106,0.000000
200,1773659985951,LEFT_ANKLE,97.447914,107,0.000000
200,1773659986488,RIGHT_ANKLE,102.534302,108,0.000000
200,1773659987166,LEFT_ANKLE,98.076965,109,0.000000
200,1773659987757,RIGHT_ANKLE,102.419395,110,0.000000
200,1773659988384,LEFT_ANKLE,97.484901,111,0.000000
200,1773659988928,RIGHT_ANKLE,102.503578,112,0.000000
200,1773659989603,LEFT_ANKLE,95.368507,113,0.000000
200,1773659990240,RIGHT_ANKLE,97.136047,114,0.000000
200,1773659990877,LEFT_ANKLE,94.692268,115,0.000000
200,1773659991509,RIGHT_ANKLE,94.439919,116,0.000000
200,1773659992138,LEFT_ANKLE,94.439919,117,0.000000
200,1773659992680,RIGHT_ANKLE,94.839241,118,0.000000
200,1773659993357,LEFT_ANKLE,94.839241,119,0.000000
200,1773659993903,RIGHT_ANKLE,100.072105,120,0.000000
200,1773659994575,LEFT_ANKLE,98.188438,121,0.000000
200,1773659995167,RIGHT_ANKLE,100.175720,122,0.000000
200,1773659995798,LEFT_ANKLE,95.241417,123,0.000000
200,1773659996439,RIGHT_ANKLE,96.680756,124,0.000000
200,1773659997016,LEFT_ANKLE,96.680756,125,0.000000
200,1773659997653,RIGHT_ANKLE,96.876678,126,0.000000
200,1773659998330,LEFT_ANKLE,94.294136,127,0.000000
200,1773659998919,RIGHT_ANKLE,96.554283,128,0.000000
200,1773659999551,LEFT_ANKLE,96.998596,129,0.000000
200,1773660000093,RIGHT_ANKLE,96.998596,130,0.000000
200,1773660000766,LEFT_ANKLE,95.319115,131,0.000000
200,1773660001308,RIGHT_ANKLE,102.501793,132,0.000000
200,1773660001936,LEFT_ANKLE,100.393074,133,0.000000
200,1773660002526,RIGHT_ANKLE,102.645813,134,0.000000
200,1773660003157,LEFT_ANKLE,97.441162,135,0.000000
200,1773660003753,RIGHT_ANKLE,99.302490,136,0.000000
200,1773660004426,LEFT_ANKLE,97.099907,137,0.000000
200,1773660005060,RIGHT_ANKLE,96.798515,138,0.000000
200,1773660005695,LEFT_ANKLE,94.737526,139,0.000000
200,1773660006280,RIGHT_ANKLE,96.598854,140,0.000000
200,1773660006912,LEFT_ANKLE,94.687378,141,0.000000
200,1773660007499,RIGHT_ANKLE,97.262856,142,0.000000
200,1773660008130,LEFT_ANKLE,97.412842,143,0.000000
200,1773660008723,RIGHT_ANKLE,99.494087,144,0.000000
200,1773660009352,LEFT_ANKLE,97.219032,145,0.000000
200,1773660009936,RIGHT_ANKLE,99.594872,146,0.000000
200,1773660010569,LEFT_ANKLE,97.219032,147,0.000000
200,1773660011203,RIGHT_ANKLE,97.118896,148,0.000000
200,1773660011883,LEFT_ANKLE,94.937813,149,0.000000
200,1773660012471,RIGHT_ANKLE,97.154930,150,0.000000
200,1773660013107,LEFT_ANKLE,94.587852,151,0.000000
200,1773660013737,RIGHT_ANKLE,94.738312,152,0.000000
200,1773660014368,LEFT_ANKLE,94.888298,153,0.000000
200,1773660014961,RIGHT_ANKLE,97.168556,154,0.000000
200,1773660015640,LEFT_ANKLE,94.888298,155,0.000000
200,1773660016232,RIGHT_ANKLE,97.168556,156,0.000000
200,1773660016856,LEFT_ANKLE,97.473816,157,0.000000
200,1773660017493,RIGHT_ANKLE,97.175270,158,0.000000
200,1773660018122,LEFT_ANKLE,95.244957,159,0.000000
200,1773660018758,RIGHT_ANKLE,95.294319,160,0.000000
200,1773660019441,LEFT_ANKLE,94.640221,161,0.000000
200,1773660020032,RIGHT_ANKLE,94.640221,162,0.000000
200,1773660020707,LEFT_ANKLE,92.872673,163,0.000000
200,1773660021249,RIGHT_ANKLE,94.917114,164,0.000000
200,1773660021876,LEFT_ANKLE,95.368507,165,0.000000
200,1773660022418,RIGHT_ANKLE,102.639244,166,0.000000
200,1773660023095,LEFT_ANKLE,98.427925,167,0.000000
200,1773660023642,RIGHT_ANKLE,105.361366,168,0.000000
200,1773660024322,LEFT_ANKLE,98.003090,169,0.000000
200,1773660024901,RIGHT_ANKLE,100.647484,170,0.000000
200,1773660025580,LEFT_ANKLE,93.539490,171,0.000000
200,1773660026170,RIGHT_ANKLE,97.895699,172,0.000000
200,1773660026853,LEFT_ANKLE,92.765144,173,0.000000
200,1773660027444,RIGHT_ANKLE,97.194336,174,0.000000
200,1773660028118,LEFT_ANKLE,92.969627,175,0.000000
200,1773660028657,RIGHT_ANKLE,97.412842,176,0.000000
200,1773660029286,LEFT_ANKLE,95.311035,177,0.000000
200,1773660029876,RIGHT_ANKLE,99.535759,178,0.000000
200,1773660030560,LEFT_ANKLE,95.368401,179,0.000000
200,1773660031098,RIGHT_ANKLE,102.800560,180,0.000000
200,1773660031723,LEFT_ANKLE,97.694801,181,0.000000
200,1773660032312,RIGHT_ANKLE,99.854164,182,0.000000
200,1773660032944,LEFT_ANKLE,97.601418,183,0.000000
200,1773660033581,RIGHT_ANKLE,97.601418,184,0.000000
200,1773660034211,LEFT_ANKLE,95.391602,185,0.000000
200,1773660034800,RIGHT_ANKLE,97.347450,186,0.000000
200,1773660035436,LEFT_ANKLE,94.838142,187,0.000000
200,1773660036118,RIGHT_ANKLE,94.589745,188,0.000000
200,1773660036793,LEFT_ANKLE,92.822205,189,0.000000
200,1773660037435,RIGHT_ANKLE,92.228821,190,0.000000
200,1773660038064,LEFT_ANKLE,92.228821,191,0.000000
200,1773660038758,RIGHT_ANKLE,90.107788,192,0.000000
200,1773660039280,LEFT_ANKLE,92.578773,193,0.000000
200,1773660039871,RIGHT_ANKLE,96.790100,194,0.000000
200,1773660040549,LEFT_ANKLE,95.135963,195,0.000000
200,1773660041142,RIGHT_ANKLE,97.066284,196,0.000000
200,1773660041820,LEFT_ANKLE,97.066284,197,0.000000
200,1773660042456,RIGHT_ANKLE,94.671875,198,0.000000
200,1773660043133,LEFT_ANKLE,90.487160,199,0.000000
200,1773660043770,RIGHT_ANKLE,92.385811,200,0.000000
200,1773660044352,LEFT_ANKLE,92.385811,201,0.000000
200,1773660044945,RIGHT_ANKLE,96.570526,202,0.000000
200,1773660045617,LEFT_ANKLE,94.885887,203,0.000000
200,1773660046206,RIGHT_ANKLE,99.079834,204,0.000000
200,1773660046839,LEFT_ANKLE,99.278236,205,0.000000
200,1773660047427,RIGHT_ANKLE,99.278236,206,0.000000
200,1773660048057,LEFT_ANKLE,97.297462,207,0.000000
200,1773660048692,RIGHT_ANKLE,97.297462,208,0.000000
200,1773660049323,LEFT_ANKLE,95.037331,209,0.000000
200,1773660049960,RIGHT_ANKLE,94.937813,210,0.000000
200,1773660050638,LEFT_ANKLE,94.588959,211,0.000000
200,1773660051229,RIGHT_ANKLE,94.588959,212,0.000000
200,1773660051956,LEFT_ANKLE,92.591423,213,0.000000
200,1773660052495,RIGHT_ANKLE,94.736656,214,0.000000
200,1773660053174,LEFT_ANKLE,92.794556,215,0.000000
200,1773660053765,RIGHT_ANKLE,97.136986,216,0.000000
200,1773660054392,LEFT_ANKLE,95.193947,217,0.000000
200,1773660054983,RIGHT_ANKLE,99.579811,218,0.000000
200,1773660055612,LEFT_ANKLE,97.535378,219,0.000000
200,1773660056253,RIGHT_ANKLE,97.535378,220,0.000000
200,1773660056882,LEFT_ANKLE,95.490929,221,0.000000
200,1773660057563,RIGHT_ANKLE,94.794250,222,0.000000
200,1773660058202,LEFT_ANKLE,94.296654,223,0.000000
200,1773660058838,RIGHT_ANKLE,93.946693,224,0.000000
200,1773660059461,LEFT_ANKLE,94.541939,225,0.000000
200,1773660060102,RIGHT_ANKLE,93.946693,226,0.000000
200,1773660060685,LEFT_ANKLE,94.848175,227,0.000000
200,1773660061323,RIGHT_ANKLE,94.897240,228,0.000000
200,1773660061948,LEFT_ANKLE,95.450691,229,0.000000
200,1773660062490,RIGHT_ANKLE,97.653282,230,0.000000
200,1773660063128,LEFT_ANKLE,97.653282,231,0.000000
200,1773660063760,RIGHT_ANKLE,94.993530,232,0.000000
200,1773660064386,LEFT_ANKLE,95.594452,233,0.000000
200,1773660065025,RIGHT_ANKLE,94.942413,234,0.000000
200,1773660065755,LEFT_ANKLE,94.292442,235,0.000000
200,1773660066347,RIGHT_ANKLE,94.893349,236,0.000000
200,1773660067018,LEFT_ANKLE,93.054047,237,0.000000
200,1773660067614,RIGHT_ANKLE,94.662209,238,0.000000
200,1773660068288,LEFT_ANKLE,93.036896,239,0.000000
200,1773660068925,RIGHT_ANKLE,94.760475,240,0.000000
200,1773660069603,LEFT_ANKLE,90.877022,241,0.000000
200,1773660070191,RIGHT_ANKLE,94.627808,242,0.000000
200,1773660070870,LEFT_ANKLE,90.569298,243,0.000000
200,1773660071462,RIGHT_ANKLE,94.679482,244,0.000000
200,1773660072138,LEFT_ANKLE,92.868103,245,0.000000
200,1773660072776,RIGHT_ANKLE,94.717537,246,0.000000
200,1773660073506,LEFT_ANKLE,90.388832,247,0.000000
200,1773660074093,RIGHT_ANKLE,94.717537,248,0.000000
200,1773660074771,LEFT_ANKLE,90.432281,249,0.000000
200,1773660075361,RIGHT_ANKLE,94.744789,250,0.000000
200,1773660076040,LEFT_ANKLE,92.851906,251,0.000000
200,1773660076628,RIGHT_ANKLE,97.410439,252,0.000000
200,1773660077309,LEFT_ANKLE,92.851906,253,0.000000
200,1773660077898,RIGHT_ANKLE,97.309242,254,0.000000
200,1773660078576,LEFT_ANKLE,92.909462,255,0.000000
200,1773660079162,RIGHT_ANKLE,97.467987,256,0.000000
